snapshot,ln4-5,ln6-4,ln6-9,ln5-7,ln7-8,ln8-9
2024-04-11 00:00:00+00:00,-41.796416,33.203584,4.296416,-4.296416,-4.296416,-4.296416
2024-04-11 01:00:00+00:00,-35.727048,22.800296,16.213376,3.286624,3.286624,3.286624
2024-04-11 02:00:00+00:00,-29.946602,12.912773,27.516915,10.483085,10.483085,10.483085
2024-04-11 03:00:00+00:00,-24.455079,3.5410145,38.207032,17.292968,17.292968,17.292968
2024-04-11 04:00:00+00:00,-19.252479,-5.3149787,48.283729,23.716271,23.716271,23.716271
2024-04-11 05:00:00+00:00,-14.338801,-13.655207,57.747004,29.752996,29.752996,29.752996
2024-04-11 06:00:00+00:00,-14.394026,-14.394026,59.511214,30.723161,30.723161,30.723161
2024-04-11 07:00:00+00:00,-14.690007,-14.690007,60.734929,31.354914,31.354914,31.354914
2024-04-11 08:00:00+00:00,-14.954833,-14.954833,61.829833,31.920167,31.920167,31.920167
2024-04-11 09:00:00+00:00,-15.188502,-15.188502,62.795924,32.41892,32.41892,32.41892
2024-04-11 10:00:00+00:00,-15.391015,-15.391015,63.633203,32.851172,32.851172,32.851172
2024-04-11 11:00:00+00:00,-15.562373,-15.562373,64.341669,33.216924,33.216924,33.216924
2024-04-11 12:00:00+00:00,-15.702574,-15.702574,64.921324,33.516176,33.516176,33.516176
2024-04-11 13:00:00+00:00,-15.81162,-15.81162,65.372167,33.748927,33.748927,33.748927
2024-04-11 14:00:00+00:00,-15.88951,-15.88951,65.694197,33.915178,33.915178,33.915178
2024-04-11 15:00:00+00:00,-15.936243,-15.936243,65.887415,34.014928,34.014928,34.014928
2024-04-11 16:00:00+00:00,-15.951821,-15.951821,65.951821,34.048179,34.048179,34.048179
2024-04-11 17:00:00+00:00,-15.936243,-15.936243,65.887415,34.014928,34.014928,34.014928
2024-04-11 18:00:00+00:00,-15.88951,-15.88951,65.694197,33.915178,33.915178,33.915178
2024-04-11 19:00:00+00:00,-15.81162,-15.81162,65.372167,33.748927,33.748927,33.748927
2024-04-11 20:00:00+00:00,-15.702574,-15.702574,64.921324,33.516176,33.516176,33.516176
2024-04-11 21:00:00+00:00,-15.562373,-15.562373,64.341669,33.216924,33.216924,33.216924
2024-04-11 22:00:00+00:00,-15.391015,-15.391015,63.633203,32.851172,32.851172,32.851172
2024-04-11 23:00:00+00:00,-15.188502,-15.188502,62.795924,32.41892,32.41892,32.41892
